artists_list,id,popularity,duration_ms,explicit,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Adele,9,77.22,265055.11,0.22,0.56,0.56,-6.12,0.67,0.03,0.35,0.00,0.09,0.35,110.84
Arctic Monkeys,7,79.86,211021.43,0.00,0.57,0.58,-7.27,0.43,0.04,0.11,0.00,0.20,0.61,107.08
Ariana Grande,13,78.85,207425.54,0.31,0.66,0.69,-5.50,0.31,0.10,0.13,0.00,0.24,0.39,124.47
Bad Bunny,7,80.57,261439.14,0.71,0.77,0.62,-5.30,0.29,0.17,0.23,0.00,0.19,0.34,138.82
Billie Eilish,11,82.73,206923.91,0.00,0.57,0.32,-12.23,0.64,0.12,0.78,0.11,0.10,0.22,123.96
Bruno Mars,27,77.81,218421.78,0.19,0.66,0.68,-5.63,0.67,0.07,0.30,0.00,0.13,0.57,121.38
Calvin Harris,15,77.80,212326.40,0.00,0.68,0.84,-4.02,0.47,0.06,0.13,0.01,0.19,0.56,124.13
Chris Brown,8,75.00,239657.75,0.75,0.72,0.66,-5.25,0.25,0.08,0.04,0.00,0.17,0.51,112.07
Drake,25,77.28,232759.44,0.80,0.74,0.55,-7.51,0.56,0.17,0.17,0.00,0.16,0.40,119.18
Ed Sheeran,16,79.50,255466.75,0.00,0.64,0.48,-8.61,0.81,0.06,0.42,0.00,0.16,0.46,104.39
Frank Ocean,10,77.00,236472.80,0.50,0.62,0.38,-9.59,0.70,0.10,0.57,0.00,0.21,0.37,112.11
Harry Styles,8,84.88,218043.38,0.00,0.52,0.64,-5.45,0.75,0.04,0.25,0.00,0.16,0.33,114.68
Imagine Dragons,12,79.25,203782.08,0.08,0.57,0.76,-4.62,0.75,0.08,0.11,0.01,0.30,0.46,127.69
Juice WRLD,8,83.50,202631.88,1.00,0.64,0.64,-5.97,0.75,0.19,0.16,0.00,0.15,0.42,137.44
Justin Bieber,14,78.00,217240.43,0.00,0.68,0.67,-5.44,0.57,0.09,0.15,0.00,0.15,0.53,108.15
Kanye West,11,77.18,287295.45,0.91,0.57,0.67,-5.10,0.64,0.16,0.15,0.00,0.34,0.35,133.07
Katy Perry,11,74.91,224725.55,0.00,0.64,0.76,-4.81,0.64,0.04,0.03,0.00,0.23,0.55,129.63
Kendrick Lamar,11,77.09,240593.00,1.00,0.75,0.62,-6.18,0.82,0.17,0.08,0.00,0.13,0.51,116.72
Khalid,8,81.63,206634.50,0.13,0.63,0.57,-7.55,0.38,0.15,0.40,0.00,0.12,0.37,107.72
Maroon 5,8,80.50,216194.00,0.38,0.68,0.71,-5.47,0.50,0.05,0.13,0.00,0.23,0.62,120.26
Nicki Minaj,12,76.25,232078.58,0.67,0.68,0.76,-4.12,0.67,0.17,0.16,0.00,0.30,0.56,116.35
One Direction,19,78.47,209523.47,0.00,0.63,0.68,-5.32,0.74,0.05,0.19,0.00,0.13,0.56,117.62
Pitbull,9,78.11,234849.00,0.11,0.67,0.84,-4.24,0.56,0.09,0.07,0.00,0.26,0.63,127.45
Post Malone,13,82.54,204860.54,0.77,0.66,0.56,-6.37,0.77,0.07,0.34,0.00,0.13,0.41,119.55
Rihanna,20,77.20,229091.35,0.35,0.70,0.67,-5.61,0.40,0.08,0.16,0.01,0.14,0.49,122.22
Sam Smith,8,79.50,209344.13,0.00,0.59,0.52,-6.94,0.88,0.07,0.41,0.00,0.15,0.40,105.24
Taylor Swift,12,77.25,220874.50,0.00,0.67,0.64,-6.68,0.83,0.07,0.06,0.00,0.12,0.54,107.68
The Weeknd,13,79.85,266686.85,0.54,0.64,0.58,-6.53,0.38,0.07,0.17,0.02,0.16,0.32,122.26
Travis Scott,10,82.00,245696.20,0.90,0.71,0.61,-5.41,0.70,0.10,0.05,0.00,0.15,0.29,123.79
XXXTENTACION,11,84.09,136231.45,0.91,0.75,0.48,-8.45,0.36,0.13,0.50,0.00,0.13,0.41,120.71
