artists_list,explicit,id
Adele,0,7
Adele,1,2
Arctic Monkeys,0,7
Ariana Grande,0,9
Ariana Grande,1,4
Bad Bunny,0,2
Bad Bunny,1,5
Billie Eilish,0,11
Bruno Mars,0,22
Bruno Mars,1,5
Calvin Harris,0,15
Chris Brown,0,2
Chris Brown,1,6
Drake,0,5
Drake,1,20
Ed Sheeran,0,16
Frank Ocean,0,5
Frank Ocean,1,5
Harry Styles,0,8
Imagine Dragons,0,11
Imagine Dragons,1,1
Juice WRLD,1,8
Justin Bieber,0,14
Kanye West,0,1
Kanye West,1,10
Katy Perry,0,11
Kendrick Lamar,1,11
Khalid,0,7
Khalid,1,1
Maroon 5,0,5
Maroon 5,1,3
Nicki Minaj,0,4
Nicki Minaj,1,8
One Direction,0,19
Pitbull,0,8
Pitbull,1,1
Post Malone,0,3
Post Malone,1,10
Rihanna,0,13
Rihanna,1,7
Sam Smith,0,8
Taylor Swift,0,12
The Weeknd,0,6
The Weeknd,1,7
Travis Scott,0,1
Travis Scott,1,9
XXXTENTACION,0,1
XXXTENTACION,1,10
