,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,release_year,release_decade,artists_list,num_artists
4000,0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),89,200186,0,"Billie Eilish, Khalid","['6qqNVTkY8uBg9cP3Jd7DAH', '6LuN9FCkKOj5PcnpouEgny']",2018-04-19,0.35100000000000003,0.29600000000000004,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.28399999999999,4,2018,2010s,"['Billie Eilish', ' Khalid']",2
4001,285pBltuF7vW8TeWk8hdRR,Lucid Dreams,88,239836,1,Juice WRLD,['4MCBfE4596Uoi2O4DtmEMz'],2018-12-10,0.511,0.5660000000000001,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.90299999999999,4,2018,2010s,['Juice WRLD'],1
5100,2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,90,240400,0,The Neighbourhood,['77SW9BnxLY8rJ0RciFqkHh'],2013-04-19,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.10099999999999999,0.39799999999999996,124.053,4,2013,2010s,['The Neighbourhood'],1
5300,0pqnGHJpmpxLKifKRmU6WP,Believer,88,204347,0,Imagine Dragons,['53XhwfbYqKCa1cC15pYq2q'],2017-06-23,0.7759999999999999,0.78,10,-4.374,0,0.128,0.0622,0.0,0.081,0.6659999999999999,124.949,4,2017,2010s,['Imagine Dragons'],1
8300,60ynsPSSKe6O3sfwRnIBRf,Streets,94,226987,1,Doja Cat,['5cj0lLjcoR7YOSnhnX0Po5'],2019-11-07,0.7490000000000001,0.46299999999999997,11,-8.433,1,0.0828,0.20800000000000002,0.0371,0.337,0.19,90.02799999999999,4,2019,2010s,['Doja Cat'],1
8301,6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,92,174000,0,Harry Styles,['6KImCVD70vtIoJWnq6nGn3'],2019-12-13,0.5479999999999999,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,4,2019,2010s,['Harry Styles'],1
8302,7qEHsqek33rTcFNT9PFqLf,Someone You Loved,90,182161,0,Lewis Capaldi,['4GNC7GD6oZMSxPGyXy4MNB'],2019-05-17,0.501,0.405,1,-5.678999999999999,1,0.0319,0.7509999999999999,0.0,0.105,0.446,109.891,4,2019,2010s,['Lewis Capaldi'],1
8303,21jGcNKet2qwijlDFuPiPb,Circles,89,215280,0,Post Malone,['246dkjvS1zLTtiykXe5h60'],2019-09-06,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.5529999999999999,120.042,4,2019,2010s,['Post Malone'],1
8304,1Xi84slp6FryDSCbzq4UCD,Arcade,89,183624,0,Duncan Laurence,['3klZnJvYGIbWritVwQD434'],2019-03-07,0.45,0.32899999999999996,9,-12.603,0,0.0441,0.818,0.00109,0.135,0.266,71.884,3,2019,2010s,['Duncan Laurence'],1
8305,45S5WTQEGOB1VHr1Q4FuPl,Golden,88,208907,0,Harry Styles,['6KImCVD70vtIoJWnq6nGn3'],2019-12-13,0.44799999999999995,0.838,4,-5.257000000000001,0,0.0557,0.21,0.000131,0.131,0.254,139.863,4,2019,2010s,['Harry Styles'],1
